update_date,testing_program,group,Npos,Ntest,new.tests,new.pos,daily.pos,cmtv.perc.pos
2020-08-18,RTC,fac.staff,28,12265,NA,NA,NA,0.22829188748471257
2020-08-20,RTC,fac.staff,28,12272,7,0,0,0.22816166883963493
2020-08-25,RTC,fac.staff,28,12321,49,0,0,0.22725428130833536
2020-08-28,RTC,fac.staff,28,12357,36,0,0,0.22659221493890103
2020-08-29,RTC,fac.staff,28,12372,15,0,0,0.22631749110895572
2020-08-30,RTC,fac.staff,28,12391,19,0,0,0.22597046243241062
2020-08-31,RTC,fac.staff,28,12388,-3,0,-0,0.22602518566354535
2020-09-01,RTC,fac.staff,28,12392,4,0,0,0.22595222724338285
2020-09-02,RTC,fac.staff,28,12391,-1,0,-0,0.22597046243241062
2020-09-03,RTC,fac.staff,28,12400,9,0,0,0.22580645161290325
2020-09-04,RTC,fac.staff,28,12409,9,0,0,0.22564267870094287
2020-09-06,RTC,fac.staff,28,12423,14,0,0,0.2253883924977864
2020-09-07,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864
2020-09-08,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864
2020-09-09,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864
2020-09-10,RTC,fac.staff,28,12425,2,0,0,0.22535211267605634
2020-09-11,RTC,fac.staff,28,12430,5,0,0,0.22526146419951731
2020-08-18,RTC,students,43,9217,NA,NA,NA,0.4665292394488445
2020-08-18,SHCC,students,189,970,NA,NA,NA,19.48453608247423
2020-08-20,RTC,students,43,9344,127,0,0,0.4601883561643836
2020-08-20,SHCC,students,191,981,11,2,18.181818181818183,19.469928644240568
2020-08-23,RTC,students,45,9896,552,2,0.36231884057971014,0.45472918350848823
2020-08-23,SHCC,students,193,1002,21,2,9.523809523809524,19.261477045908183
2020-08-24,RTC,students,45,9902,6,0,0,0.4544536457281357
2020-08-24,SHCC,students,193,1002,0,0,NaN,19.261477045908183
2020-08-25,RTC,students,45,9896,-6,0,-0,0.45472918350848823
2020-08-25,SHCC,students,193,1002,0,0,NaN,19.261477045908183
2020-08-26,RTC,students,46,10025,129,1,0.7751937984496124,0.45885286783042395
2020-08-26,SHCC,students,193,1002,0,0,NaN,19.261477045908183
2020-08-27,RTC,students,48,10472,447,2,0.44742729306487694,0.4583651642475172
2020-08-27,SHCC,students,194,1019,17,1,5.88235294117647,19.03827281648675
2020-08-28,RTC,students,48,10570,98,0,0,0.4541154210028382
2020-08-28,SHCC,students,194,1019,0,0,NaN,19.03827281648675
2020-08-29,RTC,students,49,10833,263,1,0.38022813688212925,0.45232160989568915
2020-08-29,SHCC,students,195,1047,28,1,3.571428571428571,18.624641833810887
2020-08-30,RTC,students,49,11067,234,0,0,0.4427577482605946
2020-08-30,SHCC,students,196,1058,11,1,9.090909090909092,18.525519848771268
2020-08-31,RTC,students,49,11071,4,0,0,0.4425977779785024
2020-08-31,SHCC,students,196,1058,0,0,NaN,18.525519848771268
2020-09-01,RTC,students,49,11070,-1,0,-0,0.44263775971093045
2020-09-01,SHCC,students,196,1058,0,0,NaN,18.525519848771268
2020-09-02,RTC,students,49,11191,121,0,0,0.4378518452327763
2020-09-02,SHCC,students,199,1077,19,3,15.789473684210526,18.477251624883937
2020-09-03,RTC,students,50,11359,168,1,0.5952380952380952,0.44017959327405587
2020-09-03,SHCC,students,203,1095,18,4,22.22222222222222,18.538812785388128
2020-09-04,RTC,students,52,11467,108,2,1.8518518518518516,0.4534751896747188
2020-09-04,SHCC,students,209,1124,29,6,20.689655172413794,18.594306049822066
2020-09-06,RTC,students,57,11743,276,5,1.8115942028985508,0.4853955547986034
2020-09-06,SHCC,students,256,1214,90,47,52.22222222222223,21.087314662273478
2020-09-07,RTC,students,57,11743,0,0,NaN,0.4853955547986034
2020-09-07,SHCC,students,256,1214,0,0,NaN,21.087314662273478
2020-09-08,RTC,students,66,11818,75,9,12,0.558470130309697
2020-09-08,SHCC,students,272,1253,39,16,41.02564102564102,21.707901037509977
2020-09-09,RTC,students,77,11905,87,11,12.643678160919542,0.6467870642587148
2020-09-09,SHCC,students,272,1253,0,0,NaN,21.707901037509977
2020-09-10,RTC,students,78,11938,33,1,3.0303030303030303,0.6533757748366561
2020-09-10,SHCC,students,272,1253,0,0,NaN,21.707901037509977
2020-09-11,RTC,students,100,12146,208,22,10.576923076923077,0.8233163181294254
2020-09-11,SHCC,students,323,1349,96,51,53.125,23.943661971830984
